n	wpId	dateText	title	secondaryKeywords	rawCandidateTags	summary	textStart
150	16612	September 6, 2019	How Did We Get Chapters and Verses?	Early Christian Writings; Romans; Paul	paul; new-testament; early-christianity; textual-criticism; canon; roman-world; reader-questions; new-testament-manuscripts	Here’s a question I get on occasion, about where the Bible’s chapters and verses came from (did the original authors write that way???) I’ve drawn my answer from my textbook on the NT, and since the answer is so brief, I’ll attach another couple of paragraphs drawn from a nearby page in the book, dealing with another somewhat related and even more important (for many people) problem: when did scho	How Did We Get Chapters and Verses? September 6, 2019 Here’s a question I get on occasion, about where the Bible’s chapters and verses came from (did the original authors write that way???). I’ve drawn my answer from my textbook on the NT, and since the answer is so brief, I’ll attach another couple of paragraphs drawn from a nearby page in the book, dealing with another somewhat related and even more important (for many people) problem: when did scholars start to think that the differences in o
151	16496	August 18, 2019	Learning New Things		new-testament; early-christianity; suffering-evil; heaven-hell; roman-world; reader-questions; public-forum; reflections-ruminations	I am constantly awed by some fellow scholars,who have not just enormous range of knowledge about so many things but also an inordinate, almost insatiable curiosity. There aren’t many people like that, but I know some.	Learning New Things August 18, 2019 I am constantly awed by some fellow scholars,who have not just enormous range of knowledge about so many things but also an inordinate, almost insatiable curiosity. There aren’t many people like that, but I know some. At the same time I am regularly puzzled by people who simply have no curiosity about much of anything, who have strong opinions about lots and actual knowledge about little, who just don’t have any real curiosity or drive to find answers to anyth
152	16377	July 28, 2019	Does James (the Book)  Have the Same Concerns as James (the Man)?  Part 2	James; Jesus; Matthew 22:34-50; Romans 13:9; Galatians 5:14; Paul	jesus; paul; early-christianity; forgery-authorship; heaven-hell; judaism; reader-questions; blog-news	Does James (the Book) Have the Same Concerns as James (the Man)?	Does James (the Book) Have the Same Concerns as James (the Man)? Part 2 July 28, 2019 This will be my last post mounting the case that the brother of Jesus, James, did not write the letter of James. Here I get into some of the most substantive issues: what does this author consider to be the most important aspects of his Christian faith, and how does this stack up against what we know otherwise of James of Jerusalem? And are there indications that in fact he is addressing issues that simply do n
153	16353	July 17, 2019	Changing Your Mind.  Or Not.	Gospels (General); Peter; Hell	jesus; gospels; new-testament; early-christianity; textual-criticism; forgery-authorship; heaven-hell; reader-questions	Two things have happened to me this week that have made me think rather intensely about the path I’ve taken in life, and how radically it has swerved from the paths of others who were like me at the age of 20. I emphasize “who were like me.	Changing Your Mind. Or Not. July 17, 2019 Two things have happened to me this week that have made me think rather intensely about the path I’ve taken in life, and how radically it has swerved from the paths of others who were like me at the age of 20. I emphasize “who were like me.” The reality is that the path I was on already at 20 was (now I see) extremely weird, and to outsiders looks more than a little bizarre. I was a hard-core evangelical Christian dedicated to ministry for the sake of th
154	16327	July 10, 2019	Sad News From Larry Hurtado	Gospel of Mark; Early Christianity; Jesus	jesus; gospels; new-testament; early-christianity; textual-criticism; forgery-authorship; judaism; reader-questions	Many readers on the blog will know of Larry Hurtado, a prominent New Testament scholar who has been influential as one of the most regular and reliable bloggers on issues of relevance to the study of early Christianity. Larry has announced that he is very ill and will no longer be able to participate in either scholarship or the promotion of early Christians studies to a broader reading audience.	Sad News From Larry Hurtado July 10, 2019 Many readers on the blog will know of Larry Hurtado, a prominent New Testament scholar who has been influential as one of the most regular and reliable bloggers on issues of relevance to the study of early Christianity. Larry has announced that he is very ill and will no longer be able to participate in either scholarship or the promotion of early Christians studies to a broader reading audience. This is very sad, especially for us who know him. (I will 
155	16266	June 19, 2019	Feedback on the Blog?	Heaven and Hell; Heaven; Hell; Early Christianity; Jesus	jesus; new-testament; early-christianity; heaven-hell; roman-world; reader-questions; blog-news; public-forum	I’m back from Greece and Turkey now, with two weeks with nothing to do but work like a wild-person day and night on my book project on Christian tours of heaven and hell in relation to their Greek and Roman predecessors. I’m madly into Virgil’s Aeneid just now.	Feedback on the Blog? June 19, 2019 I’m back from Greece and Turkey now, with two weeks with nothing to do but work like a wild-person day and night on my book project on Christian tours of heaven and hell in relation to their Greek and Roman predecessors. I’m madly into Virgil’s Aeneid just now. Great stuff. I’ll say more about it anon. But it seems like a good time for me to pause for a day and take assessment of developments on the blog and get your reactions. I do this a couple of times a ye
156	16248	June 12, 2019	How “Jews” Became “Children of the Devil” in the New Testament	Jesus; Messiah; Revelation; Debates; Judaism; Gospel of John; John 1:11; John 8:39-47	jesus; gospels; new-testament; hebrew-bible; early-christianity; resurrection; canon; suffering-evil	I have just started getting into the meat of the book proposal I have written for myself about The Battle for the Bible, on how it is that Christians claimed that the Hebrew Scriptures belonged to them rather than the Jews, and how this is what ultimately led to Christian opposition to Judaism and the Jews who practiced it. As the argument unfolds, I hope it will make increasing sense!	How “Jews” Became “Children of the Devil” in the New Testament June 12, 2019 I have just started getting into the meat of the book proposal I have written for myself about The Battle for the Bible, on how it is that Christians claimed that the Hebrew Scriptures belonged to them rather than the Jews, and how this is what ultimately led to Christian opposition to Judaism and the Jews who practiced it. As the argument unfolds, I hope it will make increasing sense! Here’s the next bit, dealing with 
157	16199	May 31, 2019	The Blog Podcast: A Milestone!	Charity; John; Bart Ehrman; Goodness	reader-questions; blog-news; public-forum	As you may know, there is a weekly Podcast connected with the blog, called, cleverly enough, The Bart Ehrman Blog Podcast. The idea was hatched two years ago by blog member John Mueller, who has put a tremendous amount of effort into the whole affair every week since, producing and managing the podcast all himself, simply out of the goodness of his heart.	The Blog Podcast: A Milestone! May 31, 2019 As you may know, there is a weekly Podcast connected with the blog, called, cleverly enough, The Bart Ehrman Blog Podcast. The idea was hatched two years ago by blog member John Mueller, who has put a tremendous amount of effort into the whole affair every week since, producing and managing the podcast all himself, simply out of the goodness of his heart. The podcasts appear in a variety of venues, most anywhere you typically go for such things (e.g., 
158	16103	April 29, 2019	Similarities and Differences: Which Matter the Most?	Early Christianity; Predestination; Salvation; Old Testament; Paul; Enoch	jesus; gospels; paul; new-testament; hebrew-bible; early-christianity; canon; heaven-hell	I have been thinking a lot about the categories of “similarities” and “differences” recently. In fact, now that I look back, I’ve been thinking about these categories for about forty years.	Similarities and Differences: Which Matter the Most? April 29, 2019 I have been thinking a lot about the categories of “similarities” and “differences” recently. In fact, now that I look back, I’ve been thinking about these categories for about forty years. It’s funny the things we think about. But for a scholar of early Christianity, these categories matter a lot. When I was a conservative evangelical Christian, reading, studying, and thinking about the Bible, I was completely focused on simila
159	16028	April 7, 2019	Jesus “Only” Adopted to be the Son of God?	Son of God; Jesus; How Jesus Became God; Hell; Roman Empire; Roman World	jesus; gospels; new-testament; resurrection; canon; heaven-hell; roman-world; reader-questions	Here’s a post from six years ago involving an important matter that I completely changed my mind about. I know some scholars (not to name names) will never change their views about something, come hell or high water.	Jesus “Only” Adopted to be the Son of God? April 7, 2019 Here’s a post from six years ago involving an important matter that I completely changed my mind about. I know some scholars (not to name names) will never change their views about something, come hell or high water. They probably don’t think they should be seen to waffle. I don’t mind waffles. Especially on a nice Sunday morning like this. ****************************************************************** I used to think – for years and y
160	15927	March 16, 2019	Very Funny…	Christology (General); Early Christology; James	christology; reflections-ruminations	I normally post only once a day, but in tracing down a Blast From the Past to give today, I ran across this little nugget that I had completely forgotten about, also from this time six years ago. Too good to not repost!	Very Funny… March 16, 2019 I normally post only once a day, but in tracing down a Blast From the Past to give today, I ran across this little nugget that I had completely forgotten about, also from this time six years ago. Too good to not repost! **************************************************** OK, this is completely irrelevant to anything related to the blog – especially early Christology, my current topic. But I thought it was too funny to pass up. A fellow who lived in my neighborhood, bu
161	15925	March 16, 2019	My Doubts about the Son of God: A Blast from the Past	Son of God; How Jesus Became God; Evangelism; Jesus; Job; John 14:6	jesus; gospels; new-testament; textual-criticism; christology; church-history; reader-questions; barts-biography	Here’s a post I made six years ago, when just starting to think about what I would do in my book How Jesus Became God, where I recount a rather emotional experience of starting to doubt my faith.	My Doubts about the Son of God: A Blast from the Past March 16, 2019 Here’s a post I made six years ago, when just starting to think about what I would do in my book How Jesus Became God, where I recount a rather emotional experience of starting to doubt my faith. ************************************************************************************************************ When I attended Moody Bible Institute in the mid 1970s, every student was required, every semester, to do some kind of Christi
162	15919	March 13, 2019	The Protestant Obsession with Origins	Early Christianity; Jesus; Judaism; Paul	jesus; gospels; paul; new-testament; early-christianity; textual-criticism; canon; heaven-hell	It was especially in the nineteenth century that scholars of religion, theology, and biblical studies became deeply obsessed with the question of “origins. ” In many ways, the roots for this interest – in these fields in particular – lay in the Protestant Reformation, and it is no accident that the major research on the question was done in predominantly Protestant countries (especially Germany; s	The Protestant Obsession with Origins March 13, 2019 It was especially in the nineteenth century that scholars of religion, theology, and biblical studies became deeply obsessed with the question of “origins.” In many ways, the roots for this interest – in these fields in particular – lay in the Protestant Reformation, and it is no accident that the major research on the question was done in predominantly Protestant countries (especially Germany; somewhat in England and, even less, in America) a
163	15912	March 11, 2019	The Passion for Origins	Heaven and Hell; Afterlife (General); Early Christianity; Heaven; Hell; Visions; Apocalypse of Peter; Afterlife Journeys; James; Philippians 3:20; Paul; Enoch	paul; new-testament; early-christianity; martyrdom; heaven-hell; judaism; reader-questions; afterlife	After I had engaged for a couple of months doing some real research and thinking seriously about my scholarly book on visions of and journeys to the realms of heaven and hell (tentatively entitled, for now, Otherworldly Journeys: Katabasis Traditions in Early Christianity), I thought I might start it all by doing a kind of history of research. This is how scholarly books commonly used to start – e	The Passion for Origins March 11, 2019 After I had engaged for a couple of months doing some real research and thinking seriously about my scholarly book on visions of and journeys to the realms of heaven and hell (tentatively entitled, for now, Otherworldly Journeys: Katabasis Traditions in Early Christianity), I thought I might start it all by doing a kind of history of research. This is how scholarly books commonly used to start – especially books of German scholarship and American dissertati
164	15777	January 17, 2019	Your Thoughts on the Blog?	Charity	blog-news; public-forum	It is difficult for me to know what really “works” on the blog. On the whole, most things seem to work well: as I’ve reported recently, the blog continues to grow.	Your Thoughts on the Blog? January 17, 2019 It is difficult for me to know what really “works” on the blog. On the whole, most things seem to work well: as I’ve reported recently, the blog continues to grow. We are working toward 7000 members (but I very much want that in six figures!) and this past year we raised on average over $420 a day for charity. That’s a lot of dosh. All to the good. But I’m concerned about the quality of the blog and whether it is doing what you yourself want it to. I h
165	15743	January 3, 2019	Hey, They’re Free!   Memberships Still Available for Those Who Can’t Afford Them		blog-news; public-forum	Hey, They’re Free!	Hey, They’re Free! Memberships Still Available for Those Who Can’t Afford Them January 3, 2019 Do you OR SOMEONE YOU KNOW want a free one-year subscription to the blog (because, for various reasons, you, or the one you know, cannot afford it)? I STILL HAVE FREE MEMBERSHIPS TO GIVE OUT. Please ask or encourage someone you know to ask. Here is the original announcement from a couple of weeks ago, with instructions about how to obtain one. ***********************************************************
166	15740	January 1, 2019	My Research Goals for 2019	Afterlife (General); Heaven and Hell; Hell; Heaven; Early Christianity; Revelation; Apocalypse of Peter; Jesus; Paul	jesus; paul; new-testament; hebrew-bible; early-christianity; forgery-authorship; canon; heaven-hell	I occasionally get asked what I’m “working on,” and it seems like January 1 is a good time to lay out my research goals/directions for the year. As some of you know, a couple of years ago I decided to cut back and become less busy with research.	My Research Goals for 2019 January 1, 2019 I occasionally get asked what I’m “working on,” and it seems like January 1 is a good time to lay out my research goals/directions for the year. As some of you know, a couple of years ago I decided to cut back and become less busy with research. That lasted a couple of months. But, well, it was a *nice* couple of months. Now I’m back in over my head – but enjoying that immensely as well. I have four major research goals (at this point) for the coming ye
167	15718	December 22, 2018	Last Minute Christmas Presents!!	Christmas; Grace; Bart Ehrman	reflections-ruminations	I’m desperately searching for the final small but precious present for my beloved Sarah. Today’s the day!	Last Minute Christmas Presents!! December 22, 2018 I’m desperately searching for the final small but precious present for my beloved Sarah. Today’s the day! And it occurred to me: maybe you’re in the same boat. What’s that final coup de grace? Here’s an idea. Why not give that loved one, or even friendly acquaintance — family member, friend, neighbor, co-worker, mail delivery person, dentist, vet, kid’s teacher, whomever! — a GIFT SUBSCRIPTION to the BART EHRMAN BLOG? Surely you know someone who
168	15628	November 14, 2018	Interested in Taking a Trip With Me to Greece and Turkey?	Revelation; Paul; Thalassa Journeys; Lectures; John	paul; new-testament; public-forum	I have just finalized the deal. I will be giving lectures on an amazing trip to Greece and Turkey this coming June, 2019, with a company called Thalassa Journeys.	Interested in Taking a Trip With Me to Greece and Turkey? November 14, 2018 I have just finalized the deal. I will be giving lectures on an amazing trip to Greece and Turkey this coming June, 2019, with a company called Thalassa Journeys. The theme is centered around the journeys of the apostle Paul, and is called “St. Paul in the World of Late Antiquity: Civilizations and Faiths in Transition.” For the trip we go to some of the key places in Paul’s missionary work: Thessaloniki, Philippi, Ephes
169	15564	October 21, 2018	The Digital Bible (by Jeff Siker)	Early Christian Writings; Early Christianity; Jesus; Rise of Christianity; Roman World; Paul	jesus; paul; new-testament; hebrew-bible; early-christianity; textual-criticism; canon; roman-world	I just finished the seventh edition of my textbook, The New Testament: A Historical Introduction to the Early Christian Writings. I started working on it, for the first edition, in 1993 – so I’ve been at it for 25 years.	The Digital Bible (by Jeff Siker) October 21, 2018 I just finished the seventh edition of my textbook, The New Testament: A Historical Introduction to the Early Christian Writings. I started working on it, for the first edition, in 1993 – so I’ve been at it for 25 years. Ouch. For this new revision, among other things, I’ve added an Excursus of particular relevance, on the “Digital Bible,” written, luckily for all involved, not by me, but by my scholar-friend Jeff Siker, who has published, just 
170	15482	September 16, 2018	Peter: First Bishop (Pope) in Rome?	Peter; Paul; Martyrdom (General); Mary Magdalene; Mary; Jesus; Church History; Eusebius; Mission; James; Mark; Galatians 2:9; Galatians 2:12; Galatians 2:11-14; 1 Corinthians 1:12; Romans 1:13; Apollos	jesus; gospels; paul; new-testament; forgery-authorship; resurrection; martyrdom; suffering-evil	Today I move on to something else (I’ll get to the after life after more life). Here’s an interesting question I received about Peter: the first bishop of Rome?	Peter: First Bishop (Pope) in Rome? September 16, 2018 Today I move on to something else (I’ll get to the after life after more life). Here’s an interesting question I received about Peter: the first bishop of Rome? QUESTION: Is there any historical evidence that the apostle Peter was the first Bishop of Rome and that he was martyred upside down on a cross? RESPONSE: Ah, I get asked this one (or these two) on occasion. I dealt with them both in my book Peter, Paul, and Mary Magdalene (which, by 
171	15461	September 5, 2018	Opening for Dinner in Durham		blog-news; public-forum	As you may remember, I am hosting a dinner for a few members of the blog on my home turf, in Durham NC, on Monday Sept. 24.	Opening for Dinner in Durham September 5, 2018 As you may remember, I am hosting a dinner for a few members of the blog on my home turf, in Durham NC, on Monday Sept. 24. One of the people who had originally planned on coming has had a conflict and has to back out. So I have one more opening at the table. If you are interested in coming — the first to respond gets the seat! Please contact me not here on the blog, but via email at behrman@email.unc.edu The only requirements are that you be a memb
172	15422	August 22, 2018	Proselytizing on the Blog	Early Christianity; Apostolic Fathers; Jesus; Paul	jesus; paul; new-testament; early-christianity; apocrypha; textual-criticism; blog-news; public-forum	We have had a long-standing policy on the blog – going back to its inception – of avoiding any kind of proselytizing activity that promotes or urges (on others) particular religious views of any kind. Some comments I receive are borderline, and it is hard to know where the *hard* line actually ought to be.	Proselytizing on the Blog August 22, 2018 Dear Members of the Blog, We have had a long-standing policy on the blog – going back to its inception – of avoiding any kind of proselytizing activity that promotes or urges (on others) particular religious views of any kind. Some comments I receive are borderline, and it is hard to know where the *hard* line actually ought to be. But I’m afraid I have grown lax in the enforcement of the rule. It is perfectly fine on occasion for you (or anyone) to say 
173	15375	August 5, 2018	Is There Sarcasm in the New Testament?	Paul; Jesus; 1 Corinthians; Suffering; Matthew 7:1; Matthew 7:3; Galatians 5:12	jesus; gospels; paul; new-testament; suffering-evil; heaven-hell; roman-world; judaism	During the time that the New Testament was being written, especially during Paul’s time, did they have in society what we consider sarcasm? Sometimes certain sentences pop out to me as they could have meant them in a sarcastic tone.	Is There Sarcasm in the New Testament? August 5, 2018 Here is an unusually interesting question I have received: QUESTION: During the time that the New Testament was being written, especially during Paul’s time, did they have in society what we consider sarcasm? Sometimes certain sentences pop out to me as they could have meant them in a sarcastic tone. I know it is probably just me since I am a sarcastic person. RESPONSE: Now *that’s* an interesting question that I, literally, have never been a
174	15347	July 23, 2018	Traditions About Jesus that Are Probably Not Historical	Jesus; Gospels (General); John; John 9:22; Nicodemus	jesus; gospels; new-testament; apocrypha; textual-criticism; canon; heaven-hell; judaism	I have been arguing that there are ways to extract historical information about Jesus from the Gospels – even if they were not written to provide disinterested accounts of what he really said and did but were meant to promote faith in him.	Traditions About Jesus that Are Probably Not Historical July 23, 2018 I have been arguing that there are ways to extract historical information about Jesus from the Gospels – even if they were not written to provide disinterested accounts of what he really said and did but were meant to promote faith in him. So far I have discussed two positive criteria: independent attestation (if a tradition is found in multiple independent sources then that increases the likelihood that it goes back to the li
175	15290	July 6, 2018	Student Excuses: A Blast From the Past		new-testament; early-christianity; reader-questions; blog-news; readers-questions; reflections-ruminations	After I posted the story of the mother who called me about her daughter’s failing my class (and then not), a reader of the blog asked me to repeat a post from years ago, of the best excuse I’ve ever received from a student for missing an exam. I dug around and found it.	Student Excuses: A Blast From the Past July 6, 2018 After I posted the story of the mother who called me about her daughter’s failing my class (and then not), a reader of the blog asked me to repeat a post from years ago, of the best excuse I’ve ever received from a student for missing an exam. I dug around and found it. It begins with my apologies for not getting to my Mailbag as much as I should, as it grows longer and longer. The apologies still apply! And the excuse remains the best I’ve eve
176	15258	June 21, 2018	New Rules for Comments on the Blog		reader-questions; public-forum	I have made an executive decision involving rules for comments on the blog. I have received complaints from blog users about some of the comments.	New Rules for Comments on the Blog June 21, 2018 I have made an executive decision involving rules for comments on the blog. I have received complaints from blog users about some of the comments. I think we all (the thousands of us!) are doing well when it comes to being polite and reasonably generous with one another, unlike a lot of other sites. But some of the comments are distracting, either because there are so many of them from one person or because they are excessively long. The comment s
177	15248	June 15, 2018	Why I Am Obsessed with Jesus: A Blast from the Past	Jesus; How Jesus Became God; Historical Jesus; John the Baptist	jesus; gospels; forgery-authorship; resurrection; canon; roman-world; judaism; church-history	Here’s a new idea: feel free to suggest to me that I repost one of the posts that you most like from earlier days on the blog! That was done, unsolicited, by one of the long-time faithful followers of the blog, who wanted to see me repost a post from four years, ago, on why I continue to be obsessed with Jesus even though I am not a believer.	Why I Am Obsessed with Jesus: A Blast from the Past June 15, 2018 Here’s a new idea: feel free to suggest to me that I repost one of the posts that you most like from earlier days on the blog! That was done, unsolicited, by one of the long-time faithful followers of the blog, who wanted to see me repost a post from four years, ago, on why I continue to be obsessed with Jesus even though I am not a believer. Here it is! ************************************************************************* The
178	15233	June 11, 2018	Taking the Temperature of the Blog: June 2018		forgery-authorship; reader-questions; blog-news; public-forum; reflections-ruminations	I thought this would be a good time to take stock of the blog briefly, and get a sense of how you, the user and raison d’etre of the project, are feeling about it. To do this I have several issues, concerns, and/or questions I’d like to raise.	Taking the Temperature of the Blog: June 2018 June 11, 2018 I thought this would be a good time to take stock of the blog briefly, and get a sense of how you, the user and raison d’etre of the project, are feeling about it. To do this I have several issues, concerns, and/or questions I’d like to raise. The BIG issue comes at the end, so skip there if you must [points (6) and (7)] Do you like the directions the blog is going? I’m wondering if the topics I cover and the way I cover them are genera
179	15158	May 16, 2018	Back in Business!		new-testament; public-forum	Many apologies to all for the hiatus on the blog. I wish I had a sob-story to tell to justify it (well, not really), but as I indicated yesterday, it was rather a bit of good fortune with a downside.	Back in Business! May 16, 2018 Many apologies to all for the hiatus on the blog. I wish I had a sob-story to tell to justify it (well, not really), but as I indicated yesterday, it was rather a bit of good fortune with a downside. Every year for nineteen years now my wife Sarah and I have come to the beach with our friend Dale Martin, the New Testament scholar who introduced us just six years before that (he taught at the time at Duke; he moved on to Yale; he just retired this past year). We are
180	15155	May 15, 2018	Technology Challenge at the Beach	Beach Vacation	blog-news; public-forum	Many apologies for taking a few days off from posting on the blog. It’s not been intentional!	Technology Challenge at the Beach May 15, 2018 Dear Blog Members, Many apologies for taking a few days off from posting on the blog. It’s not been intentional! I’ve been at the beach for a few days (poor soul….) and the Internet is down. I can get email, but no access to the web. So even though I’ve been writing posts, I can’t get them up to the blog. I hope to have the problem resolved soon — hopefully today! – Bart
181	15131	May 6, 2018	Seeing Capernaum and the “Jesus Boat”: A Blast From the Past	Jesus; Peter; Nazareth; Luke 8:1-3; Gabriel; Mary Magdalene	jesus; gospels; new-testament; textual-criticism; roman-world; church-history; blog-news; historical-jesus	I will be going to Israel with a tour group in October, and browsing through the blog I see that I made a number of posts from Israel last time I was there. Here’s an interesting one from five years ago today about the town of Capernaum and an intriguing archaeological discovery made there in relatively recent times.	Seeing Capernaum and the “Jesus Boat”: A Blast From the Past May 6, 2018 I will be going to Israel with a tour group in October, and browsing through the blog I see that I made a number of posts from Israel last time I was there. Here’s an interesting one from five years ago today about the town of Capernaum and an intriguing archaeological discovery made there in relatively recent times. *************************************************************************************** I am typing just now
182	15077	April 13, 2018	Blog Lunch in Houston Thursday April 19?	Lectures	blog-news; public-forum	I will be in Houston next week to give a couple of lectures at Rice University, and have discovered that I’ll be free for lunch on Thursday April 19. Is anyone interested in joining me?	Blog Lunch in Houston Thursday April 19? April 13, 2018 I will be in Houston next week to give a couple of lectures at Rice University, and have discovered that I’ll be free for lunch on Thursday April 19. Is anyone interested in joining me? The invitation is open to all blog members. All you would need to do is show up, hang out with us, and pay for your meal. I can accommodate anywhere from two to six blogging souls. If you’re interested, please zap me an email at behrman@email.unc.edu
183	14903	February 7, 2018	Small Differences that Make a Difference	Textual Variants; Birth Narrative; Luke; Gospels (General); Joseph; Mary; Jesus; Luke 2:1-5; Luke 2:6; Micah 5:2	jesus; gospels; new-testament; apocrypha; textual-criticism; canon; heaven-hell; judaism	Here is something different on the significance of textual variants for understanding the Greek New Testament. Most of the hundreds of thousands of variations are completely insignificant in the big overall scheme of things (e.	Small Differences that Make a Difference February 7, 2018 Here is something different on the significance of textual variants for understanding the Greek New Testament. Most of the hundreds of thousands of variations are completely insignificant in the big overall scheme of things (e.g., misspelled words and slips of the pen); others involve enormous differences that matter a lot (the story of the woman taken in adultery). Lots of others are between the two, small differences that are interestin
184	14893	February 4, 2018	On Being Controversial	Misquoting Jesus; Jesus; Controversy; Paul	jesus; paul; new-testament; early-christianity; textual-criticism; forgery-authorship; canon; christology	I woke up this morning thinking I’d like to start finishing out this little mini-thread on Misquoting Jesus by talking about how I never thought of anything in the book being particularly controversial, even though it struck a lot of people that way. I was going to call the post “On Being Controversial.	On Being Controversial February 4, 2018 I woke up this morning thinking I’d like to start finishing out this little mini-thread on Misquoting Jesus by talking about how I never thought of anything in the book being particularly controversial, even though it struck a lot of people that way. I was going to call the post “On Being Controversial.” And then I thought Wait a minute: That sounds familiar! And I checked it out, and I wrote almost exactly that post some three years ago. So, rather than r
185	14736	January 12, 2018	Accessing the Bart Ehrman Blog Podcast	Bart Ehrman	public-forum	I neglected in my previous post to mention how you can actually *access* the weekly podcast!	Accessing the Bart Ehrman Blog Podcast January 12, 2018 I neglected in my previous post to mention how you can actually *access* the weekly podcast! If you go to iTunes and type in “Bart Ehrman” it is the top podcast to appear and individual episodes appear as well. Or, just click here: https://itunes.apple.com/us/podcast/bart-ehrmans-sunday-sermon/id1265249890
186	14732	January 11, 2018	The Blog Podcast	John; Bart Ehrman; Poverty; Paul	gospels; paul; hebrew-bible; heaven-hell; blog-news; public-forum	As most of you may be aware, the “Bart Ehrman Blog Podcast” began six months ago. John Mueller, who has been a blog member for many years but doesn’t comment much, reached out to me last summer and offered to create the it.	The Blog Podcast January 11, 2018 As most of you may be aware, the “Bart Ehrman Blog Podcast” began six months ago. John Mueller, who has been a blog member for many years but doesn’t comment much, reached out to me last summer and offered to create the it. His idea for the podcast was simply to read some of my posts, each week. He hoped that the podcast would attract more people to the blog, which in turn would increase membership in the blog, which in turn would raise more money for the charit
187	14683	January 4, 2018	January Dinner Full!	Blog Dinner	blog-news; public-forum	I’m pleased and sorry to say that the table for the Blog dinner in Naples Florida on January 24 is now full! Sometimes people cancel, however, so if you would like to be put on a waiting list, I am happy to do that.	January Dinner Full! January 4, 2018 I’m pleased and sorry to say that the table for the Blog dinner in Naples Florida on January 24 is now full! Sometimes people cancel, however, so if you would like to be put on a waiting list, I am happy to do that. I’m looking forward to meeting those who have signed up. For all others — next time!!
188	14681	January 4, 2018	February Dinner Full!	Blog Dinner	blog-news; public-forum	I’m pleased and sorry to say that the table for the Blog dinner in D. C.	February Dinner Full! January 4, 2018 I’m pleased and sorry to say that the table for the Blog dinner in D.C. on February 9 is now full! Sometimes people cancel, however, so if you would like to be put on a waiting list, I am happy to do that. I’m looking forward to meeting those who have signed up. For all others — next time!!
189	14216	December 18, 2017	Blog Christmas Gift Idea #2:  Gift Subscriptions	Christmas; Early Christianity	new-testament; early-christianity; blog-news; public-forum	Just one week before Christmas!! Are you searching for that perfect gift for someone you know and love?	Blog Christmas Gift Idea #2: Gift Subscriptions December 18, 2017 Just one week before Christmas!! Are you searching for that perfect gift for someone you know and love? Or at least know? Something that would be highly meaningful on the one hand, but dead-easy to give on the other? I have the perfect suggestion: A GIFT MEMBERSHIP FOR THE BLOG!! On the landing page, at www.ehrmanblog.org, there is a bright link that allows you to give someone else a one-year membership. It looks like this: Just c
190	13765	December 2, 2017	Last Minute: Dinner on Thursday?		blog-news; public-forum	I will be having dinner with several blog members this Thursday in Durham NC, my home turf. We have had a cancellation, and so there is one more open spot at the table.	Last Minute: Dinner on Thursday? December 2, 2017 I will be having dinner with several blog members this Thursday in Durham NC, my home turf. We have had a cancellation, and so there is one more open spot at the table. If anyone is interested in coming, please contact me at behrman@email.unc.edu There are no obligations other than showing up, paying for your dinner, and talking about whatever suits your fancy for a couple of hours!
191	13441	November 14, 2017	How Do I Read Books?  A Blast From the Past	Reading	forgery-authorship; reader-questions; book-discussions; readers-questions	Here is an interesting and always germane question I received five years ago. I would answer the same way today!	How Do I Read Books? A Blast From the Past November 14, 2017 Here is an interesting and always germane question I received five years ago. I would answer the same way today! QUESTION: How do you go about reading books? Which methods do you use in order to read as much as possibile? How do make plans how much to read? Do you highlight things in books? Do you you’re your own comments? Summaries? Any other tips? RESPONSE: Ah, this is an interesting question. As it turns out, there’s not an easy ans
192	13443	November 12, 2017	Getting Together and Speaking Gigs	Blog Dinner; Dead Sea Scrolls; Lectures; Triumph of Christianity; Jesus	jesus; forgery-authorship; martyrdom; roman-world; church-history; blog-news; public-forum	On this post I would like to announce a couple of unusual opportunities for you and me to meet face to face, and to let you know what speaking gigs I’ll be having in the future, as planned so far..	Getting Together and Speaking Gigs November 12, 2017 On this post I would like to announce a couple of unusual opportunities for you and me to meet face to face, and to let you know what speaking gigs I’ll be having in the future, as planned so far.. FIRST: I have decided to have a Blog Dinner at a nice restaurant in Durham NC (where I live) with any 3-5 members of the blog who want to come on Thursday December 7. I am keeping the numbers at this level to allow me a chance to talk to everyone th
193	13328	October 29, 2017	Taking the Temperature of the Blog October 2017		reader-questions; blog-news; public-forum; reflections-ruminations	It is useful on occasion to step back and take the temperature of the blog, to see how things are going and to consider how they might improve. Do you have suggestions for how to make the blog better and more attractive?	Taking the Temperature of the Blog October 2017 October 29, 2017 It is useful on occasion to step back and take the temperature of the blog, to see how things are going and to consider how they might improve. Do you have suggestions for how to make the blog better and more attractive? What I’m especially interested in are ways to attract more people to join. If you have bright ideas, let me know. I’d say the blog is going extremely well on the whole. What do you think? There seems to be a lot of
194	13198	October 2, 2017	(Birthday) Gifts and (Speaking) Gigs		blog-news; public-forum	Two brief blog-related issues, one involving a birthday and the other my speaking gigs.	(Birthday) Gifts and (Speaking) Gigs October 2, 2017 Two brief blog-related issues, one involving a birthday and the other my speaking gigs. The birthday – well, it kind-s involves the blog. This Thursday (October 5) is my birthday. 62. Who would-a thought? And who cares? (Apart from me…) Well … I bet you’re wondering what you should get me for my birthday. Here’s an idea, suggested by two blog members already: How bout you get me a donation to the blog? None of the money would come to me, of co
